Id,Id2,Tract,population,employed,maleEmployed,femaleEmployed,income,maleIncome,femaleIncome
1400000US06075016801,6075016801,"Census Tract 168.01, San Francisco County, California",65651,2316,63.7,36.3,65651,66875,57204
1400000US06075016802,6075016802,"Census Tract 168.02, San Francisco County, California",66594,2073,66.2,33.8,66594,67419,61250
1400000US06075016900,6075016900,"Census Tract 169, San Francisco County, California",62210,2209,64.4,35.6,62210,65997,54911
1400000US06075017000,6075017000,"Census Tract 170, San Francisco County, California",85926,2732,69.4,30.6,85926,93684,73600
1400000US06075017101,6075017101,"Census Tract 171.01, San Francisco County, California",75920,2437,55.1,44.9,75920,86277,63351
1400000US06075017102,6075017102,"Census Tract 171.02, San Francisco County, California",70438,2815,48,52,70438,90077,66387
1400000US06075017601,6075017601,"Census Tract 176.01, San Francisco County, California",34638,3348,56.2,43.8,34638,42159,23636
1400000US06075017700,6075017700,"Census Tract 177, San Francisco County, California",41429,1106,66,34,41429,39760,44000
1400000US06075017801,6075017801,"Census Tract 178.01, San Francisco County, California",88958,1043,49.6,50.4,88958,109042,60357
1400000US06075017802,6075017802,"Census Tract 178.02, San Francisco County, California",34698,2384,56.3,43.7,34698,51971,26468
1400000US06075017902,6075017902,"Census Tract 179.02, San Francisco County, California",23297,1335,56.2,43.8,23297,22292,24875
1400000US06075018000,6075018000,"Census Tract 180, San Francisco County, California",103981,1713,66.2,33.8,103981,115438,100160
1400000US06075020100,6075020100,"Census Tract 201, San Francisco County, California",35656,2882,73.8,26.2,35656,29545,51071
1400000US06075020200,6075020200,"Census Tract 202, San Francisco County, California",60043,3634,65,35,60043,66011,45417
1400000US06075020300,6075020300,"Census Tract 203, San Francisco County, California",66404,2059,63.3,36.7,66404,72656,57434
1400000US06075020401,6075020401,"Census Tract 204.01, San Francisco County, California",85385,2384,67.9,32.1,85385,85833,82361
1400000US06075020402,6075020402,"Census Tract 204.02, San Francisco County, California",64656,2758,73.6,26.4,64656,64206,66950
1400000US06075020500,6075020500,"Census Tract 205, San Francisco County, California",72304,1913,64.2,35.8,72304,87011,52212
1400000US06075020600,6075020600,"Census Tract 206, San Francisco County, California",93355,2959,64.8,35.2,93355,105833,81090
1400000US06075020700,6075020700,"Census Tract 207, San Francisco County, California",81559,3904,52.4,47.6,81559,91808,67132
1400000US06075020800,6075020800,"Census Tract 208, San Francisco County, California",35074,4096,67.3,32.7,35074,32844,36530
1400000US06075020900,6075020900,"Census Tract 209, San Francisco County, California",31038,2780,54.4,45.6,31038,27614,32361
1400000US06075021000,6075021000,"Census Tract 210, San Francisco County, California",64881,3348,60.7,39.3,64881,82422,42361
1400000US06075021100,6075021100,"Census Tract 211, San Francisco County, California",81250,2477,58.8,41.2,81250,84231,80272
1400000US06075021200,6075021200,"Census Tract 212, San Francisco County, California",80222,1856,52.3,47.7,80222,92313,70205
